                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.81501,                0.47304,                0.91914,                0.98515,                 0.9912,                  0.995,                0.86717,                0.64701,                0.32041,                0.85994,             0.00050537,             0.00050537,             0.00050537
                     61,                 0.8841,                0.45658,                0.96467,                0.98515,                 0.9912,                  0.995,                0.86717,                0.64701,                0.32041,                0.85994,             0.00050331,             0.00050331,             0.00050331
                     62,                0.78661,                0.45871,                0.91831,                0.98153,                      1,                  0.995,                0.87459,                0.65043,                0.32407,                0.86515,             0.00050125,             0.00050125,             0.00050125
                     63,                0.80931,                0.45495,                0.94931,                0.98502,                      1,                  0.995,                0.86321,                0.67886,                0.33359,                0.88064,             0.00049919,             0.00049919,             0.00049919
                     64,                 0.8947,                0.47318,                 1.0314,                0.98925,                0.99647,                  0.995,                0.86696,                0.62461,                0.32275,                0.86063,             0.00049712,             0.00049712,             0.00049712
                     65,                0.81142,                0.43653,                0.94983,                0.98925,                0.99647,                  0.995,                0.86696,                0.62461,                0.32275,                0.86063,             0.00049506,             0.00049506,             0.00049506
                     66,                0.77937,                0.46289,                0.92783,                0.97444,                0.99704,                  0.995,                0.86529,                0.60658,                0.32792,                0.85637,               0.000493,               0.000493,               0.000493
                     67,                0.82202,                0.56332,                 1.0261,                0.96867,                0.99666,                  0.995,                0.85011,                 0.7117,                0.34872,                0.87526,             0.00049094,             0.00049094,             0.00049094
                     68,                0.85485,                0.49959,                0.91303,                0.97894,                0.99325,                0.99497,                0.84903,                0.67241,                0.33148,                0.86237,             0.00048888,             0.00048888,             0.00048888
                     69,                0.80744,                0.45928,                0.97996,                0.97894,                0.99325,                0.99497,                0.84903,                0.67241,                0.33148,                0.86237,             0.00048681,             0.00048681,             0.00048681
                     70,                0.78993,                0.44689,                0.96501,                0.98364,                 0.9885,                0.99497,                0.88559,                  0.563,                0.31838,                0.83889,             0.00048475,             0.00048475,             0.00048475
                     71,                0.73089,                  0.417,                0.93457,                0.97714,                0.98787,                  0.995,                0.88725,                0.58225,                0.32066,                0.84496,             0.00048269,             0.00048269,             0.00048269
                     72,                0.71011,                0.40738,                0.91769,                 0.9731,                0.99196,                  0.995,                0.89756,                0.58832,                0.31778,                0.84782,             0.00048062,             0.00048062,             0.00048062
                     73,                0.73315,                0.39676,                 0.9267,                 0.9731,                0.99196,                  0.995,                0.89756,                0.58832,                0.31778,                0.84782,             0.00047856,             0.00047856,             0.00047856
                     74,                 0.7997,                0.44606,                 0.9581,                0.97926,                0.99188,                  0.995,                 0.8681,                0.66283,                0.33761,                0.86486,              0.0004765,              0.0004765,              0.0004765
                     75,                0.80678,                0.46194,                0.98973,                0.98659,                0.98809,                  0.995,                0.86642,                0.64148,                 0.3215,                 0.8614,             0.00047444,             0.00047444,             0.00047444
                     76,                 0.7391,                0.40635,                0.94448,                0.95674,                0.99943,                  0.995,                0.86672,                0.60374,                0.30174,                0.85253,             0.00047237,             0.00047237,             0.00047237
                     77,                0.88511,                0.43451,                0.97217,                0.95674,                0.99943,                  0.995,                0.86672,                0.60374,                0.30174,                0.85253,             0.00047031,             0.00047031,             0.00047031
                     78,                0.87883,                0.49996,                 1.0917,                0.95204,                0.99081,                0.98905,                0.85936,                0.61336,                0.31805,                0.85345,             0.00046825,             0.00046825,             0.00046825
